review,sentiment
"""  Hocam; bugun  memnuniyetsiz bir musteriyim diye tepiniyorum, kimse orali degil.""Turkcell niye üzüyon! 
",0
"""Aşık olmak için illa ölümü göze almak mı lazım?"" nasıl saçma bir sorudur nasıl saçma bir cümledir bu!	
",0
"#turkcellesavasimvar Haksız kazanç elde ettiklerini dava 10 sene sürse kanıtlayacağım ve emsal teşkil etmesini sağlayacağım Turkcell duy 
",0
"#turkcellesavasimvar ondan kurtulalı yıllar oluyor, yaşasın özgürlük tavsiye edilir ;) ayrıca kalite palavralarını da bıraksınlar 
",0
"#turkcellprotesto olm turkcell  e mesaj hakkı veren yerlerine sokayım senin 
",0
"#turktelekom ,ey sen lider telekom firması, ""beceriksiz"" ve bilgisiz bayilerin arayıp size "" #turkcell Vın"" hediye ""etcez"" diyorlar neden.! 
",0
"#uydunet bu ay turkcell faturamı sen öde mümkünse... iki gündür ne tv var ne internet... turkcell e eğilmek zorunda kalıyoruz sayende.... 
",0
"#vodafone #turkcell - SMS paketi alıp her ay, atmadığım sms'lerin parasını ödemek istemiyorum. 
",0
"#vodafone icin Buyuk eksiklik. Apple urunlerinde kullanilmak uzere #turkcell online islem gibi bir app yapmadilar, yapamadilar. 
",0
"%98.2 oraninda kapsama alani olan Turkcell, kapsama alani olmayan o %1.8 lik alana denk gelmekkk  nedir ya :/ 
",0
"''Umut bitti! Mutluluk demir sandıkta kitli.''	
",0
"'lutfen bir turkcell ıletısım noktasına gidin' boş geziyoruz bızım ısımız gucumuz yok sankı kalkıp eve gidip fatura bulup sana kosucam!! 
",0
"""Birinin ikinci tercihi olmak, berbat bir şey."" (Pretty Little Liars)	
",0
"+Hatta 999898989 tane senaryo yazdım kafamda...İçeride biri olsada açsa ama nerede,yok öyle bir dünya,kapıyı çalanda açanda ben olunca...:/	
",0
"+Turksel beni sesimden tanır.-anlamadık lutfen yenıden deneyın +turksel benı sesımd.. benim ben döl ziyanı tanımadın mıaa (turk kızı merve) 
",0
"+bir çok kötü bir tane iyi etmiyor maalesef.. bu uygulamaların hepsi çöp yığını.. shubuo'dan beri ders almadılar,çok beceriksizsin turkcell! 
",0
"-Bir mesaj atsa! *Mesaj sesi* (şok ifadesi) Noooolur o olsun! + Sayın abonemiz... Amk turkcell:)))) 
",0
"-İyi günler biz turkcell'den arıyoruz hakan uçarla mı görüşüyorum-hayır ben değilim-şöyle bi kampanyamız ıııhhhhıggıı ben daha sonra ulaşsam 
",0
"// 4 ay önce aldığım telefonum sonunda bozuldu... Bu kadar dayanması bile mucize... Teşekkürler Turkcell!!! 
",0
"0 facebook kapanıyo sms 14 tl smsi olmayanlar facebooktan mesaj atamıcağı için sms yapmak zorunda olduğumuzu düşünmüştür kesin o.ç türksel 
",0
"00.00 da atarsa Türkcell mesaj atar yani 
",0
"00.00'da mesaj atacam salak ne kadar sevinecek.  -Turkcell 
",0
"00:00 da turkselden mesaj geldi Allah belani versin turkcell :| 
",0
"""Bu gidişle hiçbir şeyin yolunda gideceği yok.""	
",0
"00:00'da mesaj mı atılır lan? amına koyim turkcell! 
",0
"03.15te mesaj atıp yüreğimi hoplatan turkcell'e sevgilerimi yolluyorum burdan 
",0
"0532 li bir numaradan aramanın nedeni ne Turkcell? o kadar öksürüp sesimi açmıştım. cani! 
",0
"1 gb internet pakedim de bitti lanet turkcell. 
",0
"1 gb internet yapiyorum hala internet kullanimindan param gidiyo  aq senin ahhahahaha 
",0
"1-2 sene içinde whatsapp desteklemeyen telefon kalmıcak kimse sms yapmıcak görücen ebeni turkcell 
",0
"1219834 senedir yaşadığım en adrenalinli gece desem abartmış olur muyum lan? yok ya olmam sanırım. başımda deli ağrılar.	
",0
"3 aydır turkcell den arıyolar inadına açmıyorum,yok sesli mesaj falan bırakmalar yemezler öyle kolay kolay. 
",0
"3 gunde 1 gb nasil biter nasil pis turkcell:( 
",0
"3 gün sonra sms paketim bitiyormuş,zaten turkcell mesaj atıp söylemese sms paketimin olduğunu unutmuştum yalnızım lan 
",0
"""Gun boyunca 1 tlye konusun"" mesajini gece 10'da yollayan Turkcell'in mesajini yasamak istiyorum. 
",0
"3-4 gün önce kontör yükledim  turkcell ogünden beri 25tane mesaj attı !!!!111!!1!1!!!! 
",0
"30TL yükledim diye dünya kadar mesaj gönderen Turkcell 100 TL yüklesem kapıma dayanacak, 200 TL yüklesem nikah kıyacak herhalde... 
",0
"32 dakikadır turkcell'in teknoloji uzmanıyla konuşuyordum bir türlü yapamadık mms ayarlarımı 
",0
"36 saat geçti hala bekliyorum aranmayı illa 4 olması gerek dimi çözüm merkezinin bana dönüş yapması için çok merak ettim !?!? 
",0
"3G de herzaman heryerde hep problem var sevgili 
",0
"3G problemleri icin nereye basvurabiliriz? Kayseri/Talas Erciyes Unv. Civarı 5 gündür edge. Turkcell bile çekiyor yahu :) help.. 
",0
"3G sinyalim sürekli Edge'e düşerken,  Turkcell internet keyfimi ""kesintisiz"" sürdürebilmem için aboneliğimi yenilediklerine dair mesaj attı. 
",0
"3G ve E kapismasi beni bazen cok yoruyo, hangisini kullanicama ben karar versem nasil olur sevgili #turkcell ? 
",0
"3tl durduk yere gitti Turkcell sürekli soyuyo 
",0
"4 cekermis! Kactir kesiliyor konusmanin ortasinda! Yalan dolan reklam yapacaginiza azcik yatirim yapin.. 
",0
"""Huzur denilen o şeyin her santimine ihtiyacım var bu aralar. Bana biraz bahar gerekiyor. Çok üşüdüm.""	
",0
"4 dakkalik bi sarkiyi en az 30 gunde ceker diyorum ben 
",0
"4 dakıka oldu hala beklıyorum... Cıdden agzını burnunu kırıcam turkcell. 
",0
"4 günde n tane sms aldım (n&gt;50), n-10 tanesi turkcell ve bilimum giyim mağazalarından. hiç kimsenin aramadığı fin hattımı özlicem nerdeyse 
",0
"4 saat içerisinde beyaz eşyalar, bosch servisi, baza, süperonline gelip geçince; ortalık savaş alanına döndü doğal olarak :| 
",0
"4 yillik tecrubeme dayanarak söyleyebilirim ki; ""her yerde 4 çeker"" büyük yalan! Bu Turkcell Bakirköy'de cekmiyor.Günesli'de hic cekmiyor... 
",0
"4 çeken wınn ewde nie 1 çekiyo hep açık havadamı kullanıcaz turkcell bunu nasıl düşünemedin yaaa 
",0
"4 çeker 5 çeker hikayeeeeee  en az 4-5 kez cagrı merkezine telefon acmama rağmen TRABZON'da şehir merkezinde telefon cekmiyor 
",0
"4 çeker diye reklam yapıp Dogan görünümlü sahin kıvamında kalansin 
",0
"4 çekmez , turkcelli pencere kenarlarında ancak acı çeker... 
",0
