olur olurum eder ederim
olur olurum yapar yaparım
olur olurum verir veririm
olur olurum alır alırım
olur olurum der derim
olur olurum gelir gelirim
olur olurum söyler söylerim
olur olurum ister isterim
olur olurum bulunur bulunurum
olur olurum görür görürüm
olur olurum gider giderim
olur olurum geçer geçerim
olur olurum bilir bilirim
olur olurum başlar başlarım
olur olurum getirir getiririm
olur olurum kalır kalırım
olur olurum konuşur konuşurum
olur olurum sürer sürerim
olur olurum açıklar açıklarım
olur olurum girer girerim
olur olurum kullanır kullanırım
olur olurum yaşar yaşarım
olur olurum açar açarım
olur olurum gösterir gösteririm
olur olurum anlar anlarım
olur olurum bulur bulurum
olur olurum kurar kurarım
olur olurum düşer düşerim
olur olurum atar atarım
olur olurum bekler beklerim
olur olurum sağlar sağlarım
olur olurum düşünür düşünürüm
olur olurum tartışır tartışırım
olur olurum bakar bakarım
olur olurum alınır alınırım
olur olurum arar ararım
olur olurum bırakır bırakırım
olur olurum yazar yazarım
olur olurum satar satarım
olur olurum hazırlar hazırlarım
olur olurum tutar tutarım
olur olurum savunur savunurum
olur olurum oynar oynarım
olur olurum kazanır kazanırım
eder ederim yapar yaparım
eder ederim verir veririm
eder ederim alır alırım
eder ederim der derim
eder ederim gelir gelirim
eder ederim söyler söylerim
eder ederim ister isterim
eder ederim bulunur bulunurum
eder ederim görür görürüm
eder ederim gider giderim
eder ederim geçer geçerim
eder ederim bilir bilirim
eder ederim başlar başlarım
eder ederim getirir getiririm
eder ederim kalır kalırım
eder ederim konuşur konuşurum
eder ederim sürer sürerim
eder ederim açıklar açıklarım
eder ederim girer girerim
eder ederim kullanır kullanırım
eder ederim yaşar yaşarım
eder ederim açar açarım
eder ederim gösterir gösteririm
eder ederim anlar anlarım
eder ederim bulur bulurum
eder ederim kurar kurarım
eder ederim düşer düşerim
eder ederim atar atarım
eder ederim bekler beklerim
eder ederim sağlar sağlarım
eder ederim düşünür düşünürüm
eder ederim tartışır tartışırım
eder ederim bakar bakarım
eder ederim alınır alınırım
eder ederim arar ararım
eder ederim bırakır bırakırım
eder ederim yazar yazarım
eder ederim satar satarım
eder ederim hazırlar hazırlarım
eder ederim tutar tutarım
eder ederim savunur savunurum
eder ederim oynar oynarım
eder ederim kazanır kazanırım
yapar yaparım verir veririm
yapar yaparım alır alırım
yapar yaparım der derim
yapar yaparım gelir gelirim
yapar yaparım söyler söylerim
yapar yaparım ister isterim
yapar yaparım bulunur bulunurum
yapar yaparım görür görürüm
yapar yaparım gider giderim
yapar yaparım geçer geçerim
yapar yaparım bilir bilirim
yapar yaparım başlar başlarım
yapar yaparım getirir getiririm
yapar yaparım kalır kalırım
yapar yaparım konuşur konuşurum
yapar yaparım sürer sürerim
yapar yaparım açıklar açıklarım
yapar yaparım girer girerim
yapar yaparım kullanır kullanırım
yapar yaparım yaşar yaşarım
yapar yaparım açar açarım
yapar yaparım gösterir gösteririm
yapar yaparım anlar anlarım
yapar yaparım bulur bulurum
yapar yaparım kurar kurarım
yapar yaparım düşer düşerim
yapar yaparım atar atarım
yapar yaparım bekler beklerim
yapar yaparım sağlar sağlarım
yapar yaparım düşünür düşünürüm
yapar yaparım tartışır tartışırım
yapar yaparım bakar bakarım
yapar yaparım alınır alınırım
yapar yaparım arar ararım
yapar yaparım bırakır bırakırım
yapar yaparım yazar yazarım
yapar yaparım satar satarım
yapar yaparım hazırlar hazırlarım
yapar yaparım tutar tutarım
yapar yaparım savunur savunurum
yapar yaparım oynar oynarım
yapar yaparım kazanır kazanırım
verir veririm alır alırım
verir veririm der derim
verir veririm gelir gelirim
verir veririm söyler söylerim
verir veririm ister isterim
verir veririm bulunur bulunurum
verir veririm görür görürüm
verir veririm gider giderim
verir veririm geçer geçerim
verir veririm bilir bilirim
verir veririm başlar başlarım
verir veririm getirir getiririm
verir veririm kalır kalırım
verir veririm konuşur konuşurum
verir veririm sürer sürerim
verir veririm açıklar açıklarım
verir veririm girer girerim
verir veririm kullanır kullanırım
verir veririm yaşar yaşarım
verir veririm açar açarım
verir veririm gösterir gösteririm
verir veririm anlar anlarım
verir veririm bulur bulurum
verir veririm kurar kurarım
verir veririm düşer düşerim
verir veririm atar atarım
verir veririm bekler beklerim
verir veririm sağlar sağlarım
verir veririm düşünür düşünürüm
verir veririm tartışır tartışırım
verir veririm bakar bakarım
verir veririm alınır alınırım
verir veririm arar ararım
verir veririm bırakır bırakırım
verir veririm yazar yazarım
verir veririm satar satarım
verir veririm hazırlar hazırlarım
verir veririm tutar tutarım
verir veririm savunur savunurum
verir veririm oynar oynarım
verir veririm kazanır kazanırım
alır alırım der derim
alır alırım gelir gelirim
alır alırım söyler söylerim
alır alırım ister isterim
alır alırım bulunur bulunurum
alır alırım görür görürüm
