olur olursun eder edersin
olur olursun yapar yaparsın
olur olursun verir verirsin
olur olursun alır alırsın
olur olursun der dersin
olur olursun gelir gelirsin
olur olursun söyler söylersin
olur olursun ister istersin
olur olursun bulunur bulunursun
olur olursun görür görürsün
olur olursun gider gidersin
olur olursun geçer geçersin
olur olursun bilir bilirsin
olur olursun başlar başlarsın
olur olursun getirir getirirsin
olur olursun kalır kalırsın
olur olursun konuşur konuşursun
olur olursun sürer sürersin
olur olursun açıklar açıklarsın
olur olursun girer girersin
olur olursun kullanır kullanırsın
olur olursun yaşar yaşarsın
olur olursun açar açarsın
olur olursun gösterir gösterirsin
olur olursun anlar anlarsın
olur olursun bulur bulursun
olur olursun kurar kurarsın
olur olursun düşer düşersin
olur olursun atar atarsın
olur olursun bekler beklersin
olur olursun sağlar sağlarsın
olur olursun düşünür düşünürsün
olur olursun tartışır tartışırsın
olur olursun bakar bakarsın
olur olursun arar ararsın
olur olursun bırakır bırakırsın
olur olursun yazar yazarsın
olur olursun satar satarsın
olur olursun hazırlar hazırlarsın
olur olursun tutar tutarsın
olur olursun savunur savunursun
olur olursun oynar oynarsın
olur olursun kazanır kazanırsın
eder edersin yapar yaparsın
eder edersin verir verirsin
eder edersin alır alırsın
eder edersin der dersin
eder edersin gelir gelirsin
eder edersin söyler söylersin
eder edersin ister istersin
eder edersin bulunur bulunursun
eder edersin görür görürsün
eder edersin gider gidersin
eder edersin geçer geçersin
eder edersin bilir bilirsin
eder edersin başlar başlarsın
eder edersin getirir getirirsin
eder edersin kalır kalırsın
eder edersin konuşur konuşursun
eder edersin sürer sürersin
eder edersin açıklar açıklarsın
eder edersin girer girersin
eder edersin kullanır kullanırsın
eder edersin yaşar yaşarsın
eder edersin açar açarsın
eder edersin gösterir gösterirsin
eder edersin anlar anlarsın
eder edersin bulur bulursun
eder edersin kurar kurarsın
eder edersin düşer düşersin
eder edersin atar atarsın
eder edersin bekler beklersin
eder edersin sağlar sağlarsın
eder edersin düşünür düşünürsün
eder edersin tartışır tartışırsın
eder edersin bakar bakarsın
eder edersin arar ararsın
eder edersin bırakır bırakırsın
eder edersin yazar yazarsın
eder edersin satar satarsın
eder edersin hazırlar hazırlarsın
eder edersin tutar tutarsın
eder edersin savunur savunursun
eder edersin oynar oynarsın
eder edersin kazanır kazanırsın
yapar yaparsın verir verirsin
yapar yaparsın alır alırsın
yapar yaparsın der dersin
yapar yaparsın gelir gelirsin
yapar yaparsın söyler söylersin
yapar yaparsın ister istersin
yapar yaparsın bulunur bulunursun
yapar yaparsın görür görürsün
yapar yaparsın gider gidersin
yapar yaparsın geçer geçersin
yapar yaparsın bilir bilirsin
yapar yaparsın başlar başlarsın
yapar yaparsın getirir getirirsin
yapar yaparsın kalır kalırsın
yapar yaparsın konuşur konuşursun
yapar yaparsın sürer sürersin
yapar yaparsın açıklar açıklarsın
yapar yaparsın girer girersin
yapar yaparsın kullanır kullanırsın
yapar yaparsın yaşar yaşarsın
yapar yaparsın açar açarsın
yapar yaparsın gösterir gösterirsin
yapar yaparsın anlar anlarsın
yapar yaparsın bulur bulursun
yapar yaparsın kurar kurarsın
yapar yaparsın düşer düşersin
yapar yaparsın atar atarsın
yapar yaparsın bekler beklersin
yapar yaparsın sağlar sağlarsın
yapar yaparsın düşünür düşünürsün
yapar yaparsın tartışır tartışırsın
yapar yaparsın bakar bakarsın
yapar yaparsın arar ararsın
yapar yaparsın bırakır bırakırsın
yapar yaparsın yazar yazarsın
yapar yaparsın satar satarsın
yapar yaparsın hazırlar hazırlarsın
yapar yaparsın tutar tutarsın
yapar yaparsın savunur savunursun
yapar yaparsın oynar oynarsın
yapar yaparsın kazanır kazanırsın
verir verirsin alır alırsın
verir verirsin der dersin
verir verirsin gelir gelirsin
verir verirsin söyler söylersin
verir verirsin ister istersin
verir verirsin bulunur bulunursun
verir verirsin görür görürsün
verir verirsin gider gidersin
verir verirsin geçer geçersin
verir verirsin bilir bilirsin
verir verirsin başlar başlarsın
verir verirsin getirir getirirsin
verir verirsin kalır kalırsın
verir verirsin konuşur konuşursun
verir verirsin sürer sürersin
verir verirsin açıklar açıklarsın
verir verirsin girer girersin
verir verirsin kullanır kullanırsın
verir verirsin yaşar yaşarsın
verir verirsin açar açarsın
verir verirsin gösterir gösterirsin
verir verirsin anlar anlarsın
verir verirsin bulur bulursun
verir verirsin kurar kurarsın
verir verirsin düşer düşersin
verir verirsin atar atarsın
verir verirsin bekler beklersin
verir verirsin sağlar sağlarsın
verir verirsin düşünür düşünürsün
verir verirsin tartışır tartışırsın
verir verirsin bakar bakarsın
verir verirsin arar ararsın
verir verirsin bırakır bırakırsın
verir verirsin yazar yazarsın
verir verirsin satar satarsın
verir verirsin hazırlar hazırlarsın
verir verirsin tutar tutarsın
verir verirsin savunur savunursun
verir verirsin oynar oynarsın
verir verirsin kazanır kazanırsın
alır alırsın der dersin
alır alırsın gelir gelirsin
alır alırsın söyler söylersin
alır alırsın ister istersin
alır alırsın bulunur bulunursun
alır alırsın görür görürsün
alır alırsın gider gidersin
alır alırsın geçer geçersin
alır alırsın bilir bilirsin
alır alırsın başlar başlarsın
alır alırsın getirir getirirsin
alır alırsın kalır kalırsın
alır alırsın konuşur konuşursun
alır alırsın sürer sürersin
alır alırsın açıklar açıklarsın
alır alırsın girer girersin
alır alırsın kullanır kullanırsın
alır alırsın yaşar yaşarsın
alır alırsın açar açarsın
alır alırsın gösterir gösterirsin
alır alırsın anlar anlarsın
alır alırsın bulur bulursun
alır alırsın kurar kurarsın
alır alırsın düşer düşersin
alır alırsın atar atarsın
alır alırsın bekler beklersin
alır alırsın sağlar sağlarsın
alır alırsın düşünür düşünürsün
alır alırsın tartışır tartışırsın
alır alırsın bakar bakarsın
alır alırsın arar ararsın
alır alırsın bırakır bırakırsın
alır alırsın yazar yazarsın
alır alırsın satar satarsın
alır alırsın hazırlar hazırlarsın
alır alırsın tutar tutarsın
alır alırsın savunur savunursun
alır alırsın oynar oynarsın
alır alırsın kazanır kazanırsın
der dersin gelir gelirsin
der dersin söyler söylersin
der dersin ister istersin
der dersin bulunur bulunursun
der dersin görür görürsün
der dersin gider gidersin
der dersin geçer geçersin
der dersin bilir bilirsin
der dersin başlar başlarsın
der dersin getirir getirirsin
der dersin kalır kalırsın
der dersin konuşur konuşursun
der dersin sürer sürersin
der dersin açıklar açıklarsın
der dersin girer girersin
der dersin kullanır kullanırsın
der dersin yaşar yaşarsın
der dersin açar açarsın
der dersin gösterir gösterirsin
der dersin anlar anlarsın
der dersin bulur bulursun
der dersin kurar kurarsın
der dersin düşer düşersin
der dersin atar atarsın
der dersin bekler beklersin
der dersin sağlar sağlarsın
der dersin düşünür düşünürsün
der dersin tartışır tartışırsın
der dersin bakar bakarsın
der dersin arar ararsın
der dersin bırakır bırakırsın
der dersin yazar yazarsın
der dersin satar satarsın
der dersin hazırlar hazırlarsın
der dersin tutar tutarsın
der dersin savunur savunursun
der dersin oynar oynarsın
der dersin kazanır kazanırsın
gelir gelirsin söyler söylersin
gelir gelirsin ister istersin
gelir gelirsin bulunur bulunursun
gelir gelirsin görür görürsün
gelir gelirsin gider gidersin
gelir gelirsin geçer geçersin
gelir gelirsin bilir bilirsin
gelir gelirsin başlar başlarsın
gelir gelirsin getirir getirirsin
gelir gelirsin kalır kalırsın
gelir gelirsin konuşur konuşursun
gelir gelirsin sürer sürersin
gelir gelirsin açıklar açıklarsın
gelir gelirsin girer girersin
gelir gelirsin kullanır kullanırsın
gelir gelirsin yaşar yaşarsın
gelir gelirsin açar açarsın
gelir gelirsin gösterir gösterirsin
gelir gelirsin anlar anlarsın
gelir gelirsin bulur bulursun
gelir gelirsin kurar kurarsın
gelir gelirsin düşer düşersin
gelir gelirsin atar atarsın
gelir gelirsin bekler beklersin
gelir gelirsin sağlar sağlarsın
