olur olmuş eder etmiş
olur olmuş yapar yapmış
olur olmuş verir vermiş
olur olmuş alır almış
olur olmuş der demiş
olur olmuş gelir gelmiş
olur olmuş söyler söylemiş
olur olmuş ister istemiş
olur olmuş belirir belirmiş
olur olmuş bulunur bulunmuş
olur olmuş görür görmüş
olur olmuş gider gitmiş
olur olmuş geçer geçmiş
olur olmuş bilir bilmiş
olur olmuş başlar başlamış
olur olmuş getirir getirmiş
olur olmuş kalır kalmış
olur olmuş konuşur konuşmuş
olur olmuş sürer sürmüş
olur olmuş açıklar açıklamış
olur olmuş girer girmiş
olur olmuş kullanır kullanmış
olur olmuş yaşar yaşamış
olur olmuş açar açmış
olur olmuş gösterir göstermiş
olur olmuş anlar anlamış
olur olmuş bulur bulmuş
olur olmuş kurar kurmuş
olur olmuş düşer düşmüş
olur olmuş oluşur oluşmuş
olur olmuş atar atmış
olur olmuş bekler beklemiş
olur olmuş sağlar sağlamış
olur olmuş düşünür düşünmüş
olur olmuş artar artmış
olur olmuş tartışır tartışmış
olur olmuş gelişir gelişmiş
olur olmuş bakar bakmış
olur olmuş alınır alınmış
olur olmuş arar aramış
olur olmuş bırakır bırakmış
olur olmuş yazar yazmış
olur olmuş satar satmış
olur olmuş hazırlar hazırlamış
olur olmuş tutar tutmuş
olur olmuş savunur savunmuş
olur olmuş oynar oynamış
olur olmuş kazanır kazanmış
eder etmiş yapar yapmış
eder etmiş verir vermiş
eder etmiş alır almış
eder etmiş der demiş
eder etmiş gelir gelmiş
eder etmiş söyler söylemiş
eder etmiş ister istemiş
eder etmiş belirir belirmiş
eder etmiş bulunur bulunmuş
eder etmiş görür görmüş
eder etmiş gider gitmiş
eder etmiş geçer geçmiş
eder etmiş bilir bilmiş
eder etmiş başlar başlamış
eder etmiş getirir getirmiş
eder etmiş kalır kalmış
eder etmiş konuşur konuşmuş
eder etmiş sürer sürmüş
eder etmiş açıklar açıklamış
eder etmiş girer girmiş
eder etmiş kullanır kullanmış
eder etmiş yaşar yaşamış
eder etmiş açar açmış
eder etmiş gösterir göstermiş
eder etmiş anlar anlamış
eder etmiş bulur bulmuş
eder etmiş kurar kurmuş
eder etmiş düşer düşmüş
eder etmiş oluşur oluşmuş
eder etmiş atar atmış
eder etmiş bekler beklemiş
eder etmiş sağlar sağlamış
eder etmiş düşünür düşünmüş
eder etmiş artar artmış
eder etmiş tartışır tartışmış
eder etmiş gelişir gelişmiş
eder etmiş bakar bakmış
eder etmiş alınır alınmış
eder etmiş arar aramış
eder etmiş bırakır bırakmış
